ID,Name,Address,City,State,Zip,Classification,PayMethod,Salary,Hourly,Commission,Route,Account
688997,Karina Gay,998 Vitae St.,Atlanta,GA,45169,1,1,45884.99,46.92,34,30417353-K,465794-3611,23/5/1987,772-31-7592,3/9/2019,0,0,Cleric,Science,778-867-1518,GayKarina@uvu.edu,651Zerg$
522759,TaShya D. Snow,2624 Hendrerit St.,College,AK,99789,2,2,50005.50,68.13,25,36644938-8,244269-0000,19/8/1983,823-41-7671,8/1/2020,0,0,Ranger,Security,689-693-5688,D.TaShya@uvu.edu,751Protoss@
165966,Rooney Alvarado,4963 Nisl. St. Ap #185,Gillette,WY,20226,3,2,34532.37,21.53,24,37324307-8,422046-0739,2/1/1998,300-96-3525,29/11/2005,0,1,Rogue,Science,895-653-8482,AlvaradoRooney@uvu.edu,631Terran$
983010,Jolene Burgess,P.O. Box 873,South Burlington,VT,32036,2,2,20042.77,40.17,23,15300058-1,828625-2906,13/1/1964,619-94-7281,6/4/2004,0,1,Paladin,Medical,630-561-9677,BurgessJolene@uvu.edu,651Protoss@
939825,Yoko M. Pitts,4825 Nec Ave,Meridian,ID,45614,1,1,35251.89,46.64,13,44553589-3,785957-2104,29/4/1969,353-53-9819,12/11/2011,0,1,Cleric,Science,410-607-1215,M.Yoko@uvu.edu,436Protoss#
379767,Jin W. Morrison,8628 Id St.,Milwaukee,WI,80356,3,1,64467.10,82.98,33,21038669-6,654904-8491,19/4/1978,860-12-3643,13/3/2011,0,0,Wizard,Security,930-581-6332,W.Jin@uvu.edu,537Protoss#
900100,Sopoline Bullock,4963 Nisl. St. Ap #579,Idaho Falls,ID,65094,1,2,81929.49,42.76,16,46979340-0,485847-0083,12/3/1968,382-40-6180,16/11/2016,1,1,Rogue,Command,692-360-4377,BullockSopoline@uvu.edu,785Terran*
969829,Bruce A. Raymond,65009 Iaculis Road,Juneau,AK,99719,1,2,37697.26,17.33,22,28504011-6,397558-4404,12/6/1994,552-19-9597,2/3/2008,1,1,Cleric,Command,471-227-2122,A.Bruce@uvu.edu,838Zerg$
283809,Hanae Dickson,1633 Dolor Av.,Dover,DE,61813,1,2,51018.46,91.22,35,48786143-K,295643-0090,19/4/1993,629-63-6887,22/4/2003,0,1,Druid,Medical,674-115-4978,DicksonHanae@uvu.edu,477Zerg#
224568,Jenna B. Strickland,70156 Rutrum Street,Phoenix,AZ,86207,1,1,57545.39,24.70,23,33878326-4,248847-6397,13/10/1969,290-53-6028,15/7/2016,1,0,Paladin,Security,489-537-1403,B.Jenna@uvu.edu,647Zerg*
752867,Ruth S. Haley,6384 Risus Av. Ap #943,Waterbury,CT,58012,2,1,61050.17,42.26,24,12046284-9,399575-5166,10/3/1961,355-71-1666,18/6/2016,0,0,Ranger,Security,220-917-8296,S.Ruth@uvu.edu,794Protoss#
163695,Beatrice P. Ware,8903 Eget Rd.,Oklahoma City,OK,20552,1,1,46342.01,86.47,17,26387832-9,212804-3003,5/9/1974,443-77-8713,14/8/2009,1,0,Ranger,Medical,243-956-5481,P.Beatrice@uvu.edu,658Zerg*
226423,Randall Horton,3834 Tortor Av.,Topeka,KS,52541,2,2,40872.60,57.05,31,13255163-4,104934-8350,24/2/1972,641-71-1728,8/2/2011,0,0,Ranger,Command,611-799-2834,HortonRandall@uvu.edu,587Zerg#
349833,Damian Garrison,1646 In Street,San Francisco,CA,95787,2,2,99571.55,82.41,19,45550736-7,779184-5410,7/11/1986,265-66-8813,17/1/2011,1,0,Sorcerer,Command,166-126-8646,GarrisonDamian@uvu.edu,964Terran#
531061,Alvin Guerrero,248 Mauris St. Ap #748,Indianapolis,IN,92237,2,2,56430.96,38.42,27,16935557-6,994966-8363,14/6/1964,129-51-4643,3/6/2003,1,0,Ranger,Engineer,815-787-5517,GuerreroAlvin@uvu.edu,470Protoss@
